iterations,best,worst,avg
105,239731.0,270516.0,240511.414
106,239731.0,271541.0,241140.47
107,239731.0,274307.0,241377.18
108,239731.0,271672.0,240926.306
109,239731.0,272409.0,240688.354
110,239731.0,270185.0,240962.634
111,239731.0,274333.0,240716.172
112,239731.0,270968.0,240794.682
113,239731.0,273666.0,240891.89
114,239731.0,270754.0,240569.224
115,239731.0,269349.0,240478.864
116,239731.0,268922.0,240893.138
117,239731.0,273819.0,240757.834
118,239731.0,266072.0,240839.38
119,239731.0,272565.0,241038.97
120,239731.0,267015.0,240813.81
121,239731.0,263050.0,241033.764
122,239731.0,273578.0,241186.872
123,239731.0,274680.0,241165.718
124,239731.0,265498.0,240836.208
125,239731.0,270729.0,240956.922
126,239731.0,275451.0,240596.736
127,239731.0,272384.0,240927.96
128,239731.0,267999.0,240790.55
129,239640.0,270818.0,241143.774
130,239640.0,275177.0,240528.55
131,239640.0,269610.0,241116.95
132,239640.0,277983.0,240724.758
133,239640.0,274240.0,240515.948
134,239640.0,274990.0,240899.32
135,239640.0,269619.0,240682.36
136,239640.0,270465.0,241104.818
137,239640.0,268471.0,240390.164
138,239640.0,268714.0,241034.884
139,239640.0,275964.0,240652.834
140,239640.0,274428.0,240827.86
141,239640.0,273024.0,240987.016
142,239640.0,270054.0,240414.098
143,239640.0,272692.0,241016.684
144,239640.0,267347.0,240749.352
145,239640.0,272188.0,240614.134
146,239640.0,262680.0,240727.862
147,239640.0,268471.0,240932.042
148,239640.0,263788.0,240572.298
149,239640.0,272703.0,240625.544
150,239640.0,272576.0,240719.746
151,239640.0,271896.0,240720.118
152,239592.0,270665.0,240843.678
153,239592.0,271656.0,240858.562
154,239592.0,272207.0,240844.982
155,239592.0,269843.0,240789.482
156,239592.0,270570.0,240975.332
157,239592.0,273591.0,240812.904
158,239592.0,271486.0,240395.766
159,239592.0,271490.0,240829.884
160,239592.0,277753.0,240801.584
161,239592.0,268013.0,240532.162
162,239592.0,272063.0,240777.926
163,239592.0,271740.0,240908.572
164,239589.0,275968.0,240934.988
165,239589.0,268953.0,241280.422
166,239589.0,269991.0,241253.402
167,239589.0,272192.0,240356.248
168,239589.0,276479.0,240476.516
169,239589.0,270500.0,240608.262
170,239589.0,272457.0,240591.276
171,239589.0,272955.0,240638.594
172,239589.0,275169.0,240739.816
173,239589.0,267057.0,240495.03
174,239589.0,275659.0,240616.322
175,239589.0,272097.0,240913.536
176,239589.0,269506.0,240655.452
177,239589.0,266134.0,240715.186
178,239589.0,268278.0,240715.602
179,239589.0,271808.0,240739.386
180,239589.0,269263.0,240858.958
181,239589.0,265317.0,240571.484
182,239589.0,271253.0,240956.1
183,239589.0,269849.0,240904.914
184,239589.0,270679.0,241211.586
185,239589.0,269271.0,241013.624
186,239589.0,269545.0,240829.528
187,239589.0,272389.0,240676.528
188,239589.0,271724.0,240670.114
189,239589.0,275414.0,241005.85
190,239589.0,277111.0,240919.096
191,239589.0,274440.0,240805.174
192,239589.0,273857.0,240566.332
193,239439.0,274022.0,240842.45
194,239439.0,289015.0,244261.786
195,239439.0,266878.0,240210.242
196,239439.0,274458.0,240451.202
197,239439.0,272965.0,240682.066
198,239439.0,270932.0,240533.222
199,239439.0,271318.0,240514.458
200,239439.0,270460.0,240237.284
201,239439.0,270463.0,240554.274
202,239176.0,271039.0,240478.418
203,239176.0,287957.0,240715.192
204,239176.0,291220.0,245962.75
205,239176.0,273545.0,240942.168
206,239176.0,272912.0,240064.372
207,239176.0,270931.0,240078.362
208,239176.0,264504.0,240302.254
209,239176.0,271955.0,240155.43
210,239176.0,273129.0,240595.568
211,239176.0,271281.0,240346.68
212,239176.0,267768.0,240334.544
213,239176.0,265476.0,239771.028
214,239176.0,270665.0,240273.146
215,239176.0,273634.0,240541.298
216,239176.0,269877.0,240135.27
217,239176.0,265752.0,240261.254
218,239176.0,271834.0,240337.916
219,239176.0,277479.0,240369.954
220,238827.0,270509.0,240166.63
221,238827.0,296979.0,243108.948
222,238827.0,272429.0,241151.32
223,238827.0,274573.0,240058.768
224,238827.0,266432.0,239991.336
225,238827.0,267755.0,240009.35
226,238827.0,273193.0,239624.692
227,238827.0,266432.0,239890.666
228,238827.0,265325.0,239895.732
229,238827.0,269967.0,239968.022
230,238827.0,270778.0,239736.618
231,238827.0,272377.0,239944.696
232,238827.0,276779.0,240318.404
233,238827.0,271864.0,239873.358
234,238827.0,267062.0,239817.138
235,238827.0,272828.0,240160.376
236,238827.0,273823.0,240035.502
237,238827.0,270977.0,239737.144
238,238827.0,271669.0,240089.892
239,238827.0,272805.0,240038.994
