iterations,best,worst,avg
305,22028.0,29646.0,22325.172
306,22028.0,29077.0,22305.742
307,22028.0,29460.0,22414.894
308,22028.0,29065.0,22329.466
309,22028.0,27989.0,22265.178
310,22028.0,29291.0,22273.182
311,22028.0,29468.0,22369.438
312,22028.0,29445.0,22320.824
313,22028.0,28476.0,22278.266
314,22028.0,29694.0,22258.272
315,22028.0,29541.0,22314.774
316,22028.0,29275.0,22170.256
317,22028.0,29440.0,22283.018
318,22028.0,29176.0,22347.466
319,22028.0,29054.0,22311.154
320,22028.0,28704.0,22247.086
321,22028.0,29178.0,22309.066
322,22028.0,29256.0,22277.108
323,22028.0,28824.0,22303.752
324,22028.0,29178.0,22253.806
325,22028.0,28840.0,22300.772
326,22028.0,29444.0,22338.886
327,22028.0,29073.0,22296.812
328,22028.0,27884.0,22250.552
329,22028.0,28819.0,22257.096
330,22028.0,29056.0,22342.02
331,22028.0,28780.0,22339.174
332,22028.0,29031.0,22259.852
333,22028.0,29460.0,22294.29
334,22028.0,29246.0,22345.106
335,22028.0,29229.0,22348.396
336,22028.0,29446.0,22376.42
337,22028.0,28834.0,22237.102
338,22028.0,29380.0,22256.332
339,22028.0,29291.0,22256.426
340,22028.0,29196.0,22260.474
341,22028.0,29618.0,22348.716
342,22028.0,27364.0,22292.786
343,22028.0,28581.0,22261.668
344,22028.0,29292.0,22441.686
345,22028.0,29021.0,22282.176
346,22028.0,29205.0,22392.496
347,22028.0,28908.0,22334.382
348,22028.0,29054.0,22308.17
349,22028.0,29440.0,22399.774
350,22028.0,29119.0,22294.398
351,22028.0,28896.0,22358.592
352,22028.0,29397.0,22303.046
353,22028.0,29089.0,22311.724
354,22028.0,29127.0,22311.944
355,22028.0,29646.0,22343.702
356,22028.0,29246.0,22368.144
357,22028.0,29322.0,22280.522
358,22028.0,29572.0,22314.362
359,22028.0,28787.0,22313.004
360,22028.0,28528.0,22323.084
361,22028.0,29196.0,22329.316
362,22028.0,28926.0,22226.84
363,22028.0,29095.0,22381.998
364,22028.0,29255.0,22257.606
365,22028.0,28463.0,22235.696
366,22028.0,28834.0,22290.554
367,22028.0,28954.0,22262.956
368,22028.0,28851.0,22256.046
369,22028.0,29077.0,22421.812
370,22028.0,28592.0,22217.794
371,22028.0,29218.0,22337.956
372,22028.0,28199.0,22290.166
373,22028.0,28910.0,22244.302
374,22028.0,29014.0,22235.662
375,22028.0,29444.0,22264.394
376,22028.0,28191.0,22304.522
377,22028.0,29089.0,22339.37
378,22028.0,29127.0,22365.612
379,22028.0,29134.0,22335.988
380,22028.0,27587.0,22255.236
381,22028.0,29560.0,22259.418
382,22028.0,28960.0,22240.892
383,22028.0,29178.0,22340.436
384,22028.0,28296.0,22212.49
385,22028.0,29572.0,22349.774
386,22028.0,29418.0,22281.572
387,22028.0,29229.0,22279.232
388,22028.0,29489.0,22293.938
389,22028.0,29444.0,22277.5
390,22028.0,29205.0,22234.0
391,22028.0,29292.0,22329.066
392,22028.0,28819.0,22294.804
393,22028.0,28211.0,22252.804
394,22028.0,29052.0,22222.246
395,22028.0,29444.0,22261.684
396,22028.0,29397.0,22264.432
397,22028.0,29255.0,22314.848
398,22028.0,28007.0,22355.902
399,22028.0,29056.0,22330.0
400,22028.0,28908.0,22243.526
401,22028.0,27854.0,22267.792
402,22028.0,29207.0,22325.48
403,22028.0,27884.0,22259.234
404,22028.0,30327.0,22380.856
405,22028.0,29446.0,22339.658
406,22028.0,28988.0,22312.086
407,22028.0,29537.0,22367.084
408,22028.0,29084.0,22341.194
409,22028.0,29627.0,22320.336
410,22028.0,29572.0,22307.24
411,22028.0,28296.0,22381.396
412,22028.0,28896.0,22300.35
413,22028.0,29646.0,22295.136
414,22028.0,28988.0,22241.834
415,22028.0,30967.0,22397.828
416,22028.0,29446.0,22352.654
417,22028.0,29380.0,22292.55
418,22028.0,29015.0,22375.052
419,22028.0,29246.0,22282.442
420,22028.0,29414.0,22296.698
421,22028.0,29525.0,22351.252
422,22028.0,28782.0,22266.054
423,22028.0,28406.0,22208.148
424,22028.0,29480.0,22323.336
425,22028.0,27833.0,22221.274
426,22028.0,28960.0,22270.85
427,22028.0,28940.0,22325.546
428,22028.0,27737.0,22306.102
429,22028.0,28779.0,22301.684
430,22028.0,29322.0,22338.796
431,22028.0,29292.0,22274.938
432,22028.0,28943.0,22244.672
433,22028.0,29292.0,22270.294
434,22028.0,28480.0,22343.708
435,22028.0,28959.0,22281.502
436,22028.0,28074.0,22323.788
437,22028.0,29322.0,22303.588
438,22028.0,28204.0,22291.586
439,22028.0,29445.0,22367.034
440,22028.0,29076.0,22350.716
441,22028.0,29586.0,22294.398
442,22028.0,29444.0,22232.234
443,22028.0,29560.0,22325.306
444,22028.0,29528.0,22262.974
445,22028.0,29779.0,22401.262
446,22028.0,29052.0,22351.85
447,22028.0,28792.0,22352.316
448,22028.0,29414.0,22261.142
449,22028.0,28908.0,22292.128
450,22028.0,28805.0,22349.07
451,22028.0,28741.0,22273.822
452,22028.0,28526.0,22260.294
453,22028.0,29543.0,22340.218
454,22028.0,29322.0,22293.952
455,22028.0,29440.0,22226.312
456,22028.0,29056.0,22294.162
457,22028.0,29076.0,22262.55
458,22028.0,29089.0,22381.43
459,22028.0,28819.0,22318.884
460,22028.0,27964.0,22254.994
461,22028.0,29525.0,22378.746
462,22028.0,28940.0,22397.008
463,22028.0,28822.0,22353.182
464,22028.0,29159.0,22316.23
465,22028.0,29218.0,22304.462
466,22028.0,29246.0,22295.862
467,22028.0,27731.0,22272.078
468,22028.0,29205.0,22301.06
469,22028.0,28954.0,22342.308
470,22028.0,29397.0,22287.334
471,22028.0,27698.0,22262.778
472,22028.0,28901.0,22318.116
473,22028.0,29537.0,22349.2
474,22028.0,28822.0,22257.386
475,22028.0,28296.0,22253.08
476,22028.0,28807.0,22254.094
477,22028.0,29750.0,22304.252
478,22028.0,27777.0,22262.72
479,22028.0,29027.0,22376.16
480,22028.0,29286.0,22346.784
481,22028.0,29489.0,22401.484
482,22028.0,29627.0,22222.386
483,22028.0,28988.0,22346.212
484,22028.0,28691.0,22275.482
485,22028.0,29158.0,22316.124
486,22028.0,29414.0,22315.256
487,22028.0,29543.0,22324.378
488,22028.0,29440.0,22360.516
489,22028.0,29460.0,22309.628
490,22028.0,29618.0,22333.672
491,22028.0,28458.0,22234.328
492,22028.0,29031.0,22327.044
493,22028.0,29525.0,22321.188
494,22028.0,29541.0,22258.564
495,22028.0,28965.0,22315.384
496,22028.0,28258.0,22300.89
497,22028.0,28191.0,22233.152
498,22028.0,28896.0,22287.808
499,22028.0,29144.0,22316.614
500,22028.0,28532.0,22201.958
501,22028.0,29178.0,22399.716
502,22028.0,29663.0,22301.626
503,22028.0,28541.0,22279.81
504,22028.0,29572.0,22308.406
505,22028.0,28394.0,22268.178
506,22028.0,29618.0,22220.798
507,22028.0,29188.0,22342.62
508,22028.0,27843.0,22271.268
509,22028.0,29142.0,22259.676
510,22028.0,29159.0,22319.086
511,22028.0,29779.0,22304.462
512,22028.0,28897.0,22272.486
513,22028.0,29618.0,22319.786
514,22028.0,29170.0,22294.706
515,22028.0,29537.0,22302.726
516,22028.0,29246.0,22312.284
517,22028.0,29663.0,22358.448
518,22028.0,28741.0,22304.508
519,22028.0,29207.0,22362.712
520,22028.0,28954.0,22341.146
521,22028.0,28965.0,22272.07
522,22028.0,29065.0,22275.964
523,22028.0,28529.0,22305.484
524,22028.0,28779.0,22244.752
525,22028.0,29565.0,22346.882
526,22028.0,28942.0,22320.724
527,22028.0,28808.0,22353.084
528,22028.0,29537.0,22411.468
529,22028.0,29646.0,22288.542
530,22028.0,29065.0,22276.964
531,22028.0,29095.0,22303.586
532,22028.0,29444.0,22262.612
533,22028.0,29286.0,22276.224
534,22028.0,29027.0,22370.22
535,22028.0,28263.0,22340.968
536,22028.0,29156.0,22334.326
537,22028.0,28851.0,22258.098
538,22028.0,28773.0,22288.996
539,22028.0,29586.0,22275.166
540,22028.0,29196.0,22251.102
541,22028.0,29572.0,22318.582
542,22028.0,29779.0,22318.258
543,22028.0,28135.0,22296.972
544,22028.0,29618.0,22303.658
545,22028.0,29543.0,22312.862
546,22028.0,29322.0,22409.298
547,22028.0,28209.0,22303.944
548,22028.0,28943.0,22280.788
549,22028.0,29618.0,22312.292
550,22028.0,27173.0,22295.828
551,22028.0,28789.0,22300.022
552,22028.0,27488.0,22290.548
553,22028.0,28175.0,22311.256
554,22028.0,28908.0,22372.368
555,22028.0,27906.0,22275.358
556,22028.0,29779.0,22333.482
557,22028.0,29292.0,22376.508
558,22028.0,28896.0,22283.278
559,22028.0,29083.0,22270.318
560,22028.0,28942.0,22267.686
561,22028.0,28772.0,22264.332
562,22028.0,28965.0,22333.596
563,22028.0,29541.0,22239.986
564,22028.0,27976.0,22231.394
565,22028.0,29694.0,22312.38
566,22028.0,29066.0,22362.534
567,22028.0,29170.0,22345.658
568,22028.0,29445.0,22257.5
569,22028.0,29144.0,22227.656
570,22028.0,28851.0,22262.676
571,22028.0,29380.0,22361.608
572,22028.0,29397.0,22398.794
573,22028.0,29586.0,22248.37
574,22028.0,28813.0,22247.442
575,22028.0,29134.0,22355.464
576,22028.0,29586.0,22350.072
577,22028.0,29156.0,22236.52
578,22028.0,29572.0,22343.914
579,22028.0,29694.0,22253.81
580,22028.0,29618.0,22291.752
581,22028.0,29145.0,22344.528
582,22028.0,28896.0,22262.382
583,22028.0,29073.0,22258.884
584,22028.0,29694.0,22297.744
585,22028.0,29229.0,22297.096
586,22028.0,28628.0,22239.652
587,22028.0,29008.0,22256.07
588,22028.0,29196.0,22238.788
589,22028.0,28910.0,22379.228
590,22028.0,29750.0,22256.82
591,22028.0,28911.0,22247.21
592,22028.0,27882.0,22223.9
593,22028.0,27995.0,22292.004
594,22028.0,29083.0,22346.106
595,22028.0,28940.0,22282.01
596,22028.0,29015.0,22343.872
597,22028.0,28960.0,22365.692
598,22028.0,33349.0,22276.576
599,22028.0,29672.0,22341.526
600,22028.0,29572.0,22276.75
601,22028.0,29441.0,22392.26
602,22028.0,29463.0,22313.278
603,22028.0,29405.0,22326.918
604,22028.0,28211.0,22267.878
605,22028.0,29218.0,22435.244
606,22028.0,29145.0,22236.908
607,22028.0,28834.0,22268.116
608,22028.0,29275.0,22278.338
609,22028.0,29537.0,22344.608
610,22028.0,28840.0,22295.72
611,22028.0,29463.0,22340.3
612,22028.0,29460.0,22220.822
613,22028.0,28911.0,22375.16
614,22028.0,29750.0,22434.378
615,22028.0,29065.0,22315.2
616,22028.0,29073.0,22288.282
617,22028.0,29543.0,22244.816
618,22028.0,29000.0,22261.754
619,22028.0,28945.0,22339.734
620,22028.0,29021.0,22394.918
