iterations,best,worst,avg
247,344555.0,381535.0,345500.296
248,344555.0,383473.0,345910.294
249,344555.0,379708.0,345781.08
250,344555.0,377089.0,345749.808
251,344555.0,370696.0,345485.298
252,344555.0,377204.0,345920.266
253,344555.0,375696.0,345737.682
254,344555.0,379015.0,345752.524
255,344555.0,375378.0,345843.89
256,344555.0,376043.0,345876.17
257,344555.0,380458.0,345785.558
258,344555.0,380446.0,345688.542
259,344555.0,380863.0,345793.026
260,344555.0,375726.0,346140.092
261,344555.0,381071.0,345642.206
262,344555.0,368364.0,345345.976
263,344555.0,378063.0,346292.228
264,344555.0,382499.0,345578.652
265,344555.0,378139.0,345711.102
266,344555.0,380351.0,345824.94
267,344555.0,381362.0,346014.102
268,344555.0,378124.0,345731.934
269,344555.0,379977.0,346216.762
270,344555.0,374812.0,346065.134
271,344555.0,380338.0,345834.992
272,344555.0,374747.0,345717.246
273,344555.0,378118.0,346115.1
274,344555.0,377939.0,345662.104
275,344555.0,379181.0,345625.522
276,344555.0,381148.0,346186.85
277,344555.0,378206.0,346188.606
278,344212.0,378404.0,345727.15
279,344208.0,372468.0,346198.76
280,344208.0,384343.0,347624.302
281,344208.0,387632.0,347240.008
282,344208.0,381101.0,345634.322
283,344208.0,377486.0,345293.998
284,344208.0,377835.0,345591.418
285,344208.0,376940.0,345882.55
286,344208.0,381206.0,345482.868
287,344208.0,372128.0,345242.87
288,344208.0,377007.0,345514.986
289,344208.0,376094.0,345706.99
290,344208.0,377545.0,345376.988
291,344208.0,373790.0,345327.818
292,344208.0,375590.0,345977.858
293,344208.0,379035.0,346029.418
294,344208.0,377125.0,345431.826
295,344208.0,378282.0,345999.532
296,344208.0,375834.0,345654.814
297,344208.0,376226.0,345557.76
298,344208.0,377846.0,345431.328
299,344208.0,375398.0,345160.516
300,344208.0,378142.0,345781.888
301,344208.0,377728.0,345873.776
302,344208.0,379995.0,345335.28
303,344208.0,377019.0,345412.522
304,344208.0,380690.0,345469.076
305,344208.0,380406.0,345447.49
306,344208.0,379361.0,345849.532
307,344208.0,381649.0,345864.47
308,344208.0,373171.0,345274.032
309,344208.0,378900.0,345660.126
310,344208.0,380417.0,345664.25
311,344208.0,377247.0,345561.306
312,344208.0,379973.0,345366.568
313,344208.0,379886.0,345649.034
314,344208.0,379786.0,345416.872
315,344208.0,376660.0,345414.98
316,344208.0,377329.0,345399.044
317,344078.0,380004.0,345679.116
318,344078.0,380665.0,345407.714
319,344078.0,380596.0,345873.278
320,344078.0,373533.0,345535.528
321,344078.0,378707.0,345883.794
322,344078.0,378693.0,345663.912
323,344078.0,378830.0,345260.034
324,344078.0,376928.0,345247.862
325,344078.0,377570.0,345242.582
326,344078.0,381376.0,345668.87
327,344078.0,376002.0,345540.594
328,344078.0,373623.0,345133.602
329,344078.0,377812.0,345721.976
330,344078.0,376815.0,345276.372
331,344078.0,374061.0,345420.482
332,344078.0,372801.0,345137.174
333,344023.0,377299.0,345283.716
334,344023.0,381661.0,345904.898
335,344023.0,379926.0,345273.178
336,344023.0,382112.0,345524.608
337,344023.0,378799.0,345169.882
338,344023.0,374455.0,344699.338
339,344023.0,376690.0,345644.372
340,344023.0,379912.0,345562.606
341,344023.0,380332.0,345291.098
342,344023.0,377006.0,345464.66
343,344023.0,371117.0,345166.706
344,344023.0,379064.0,345302.006
345,344023.0,380862.0,345664.042
