iterations,best,worst,avg
362,7702.0,10442.0,7816.046
363,7702.0,9817.0,7778.658
364,7702.0,9994.0,7766.502
365,7702.0,9963.0,7784.694
366,7702.0,10187.0,7771.318
367,7702.0,9966.0,7778.864
368,7702.0,10097.0,7768.822
369,7702.0,10076.0,7796.868
370,7702.0,10576.0,7805.048
371,7702.0,9603.0,7782.516
372,7702.0,9858.0,7778.446
373,7702.0,10442.0,7768.148
374,7702.0,10182.0,7799.186
375,7702.0,10187.0,7781.44
376,7702.0,10030.0,7790.322
377,7702.0,10157.0,7771.99
378,7702.0,10407.0,7791.066
379,7702.0,10442.0,7786.6
380,7702.0,9966.0,7792.394
381,7702.0,10576.0,7799.256
382,7702.0,9799.0,7799.756
383,7702.0,10061.0,7804.886
384,7702.0,9686.0,7779.028
385,7702.0,9959.0,7803.682
386,7702.0,10442.0,7776.42
387,7702.0,9974.0,7794.532
388,7702.0,9724.0,7785.61
389,7702.0,9898.0,7791.612
390,7702.0,10061.0,7793.242
391,7702.0,10292.0,7782.634
392,7702.0,10008.0,7775.774
393,7702.0,10420.0,7800.0
394,7702.0,10292.0,7803.52
395,7702.0,9994.0,7788.144
396,7702.0,10407.0,7768.342
397,7702.0,10215.0,7773.964
398,7702.0,10008.0,7786.682
399,7702.0,10008.0,7777.204
400,7702.0,10292.0,7769.426
401,7702.0,10187.0,7793.736
402,7702.0,10090.0,7780.662
403,7702.0,9994.0,7778.444
404,7702.0,9686.0,7779.106
405,7702.0,10420.0,7764.186
406,7702.0,10061.0,7779.99
407,7702.0,10097.0,7768.926
408,7702.0,9782.0,7763.456
409,7702.0,9929.0,7790.37
410,7702.0,10470.0,7794.574
411,7702.0,9933.0,7782.778
412,7702.0,10215.0,7770.902
413,7702.0,9974.0,7765.364
414,7702.0,10182.0,7817.298
415,7702.0,10215.0,7798.866
416,7702.0,10129.0,7774.094
417,7702.0,9684.0,7767.912
418,7702.0,9966.0,7785.712
419,7702.0,9963.0,7782.336
420,7702.0,9994.0,7783.22
421,7702.0,9895.0,7785.054
422,7702.0,10292.0,7782.888
423,7702.0,9790.0,7776.96
424,7702.0,9831.0,7783.512
425,7702.0,10090.0,7802.992
426,7702.0,10182.0,7784.078
427,7702.0,9929.0,7772.306
428,7702.0,10576.0,7777.644
429,7702.0,9817.0,7769.58
430,7702.0,9592.0,7781.156
431,7702.0,9632.0,7768.618
432,7702.0,9472.0,7750.976
433,7702.0,9751.0,7770.328
434,7702.0,9963.0,7781.482
435,7702.0,10008.0,7797.372
436,7702.0,10030.0,7815.658
437,7702.0,10420.0,7759.386
438,7702.0,9831.0,7762.76
439,7702.0,9994.0,7784.868
440,7702.0,9874.0,7800.686
441,7702.0,10442.0,7785.506
442,7702.0,10292.0,7772.43
443,7702.0,9963.0,7786.456
444,7702.0,9606.0,7782.858
445,7702.0,10090.0,7758.676
446,7702.0,9933.0,7787.942
447,7702.0,10061.0,7822.5
448,7702.0,10129.0,7783.724
449,7702.0,10442.0,7793.108
450,7702.0,9541.0,7758.106
451,7702.0,10097.0,7780.596
452,7702.0,10420.0,7782.278
453,7702.0,9697.0,7780.956
454,7702.0,9554.0,7773.264
455,7702.0,10282.0,7777.274
456,7702.0,9752.0,7788.934
457,7702.0,10576.0,7790.832
458,7702.0,10138.0,7802.484
459,7702.0,9606.0,7759.992
460,7702.0,10442.0,7810.966
461,7702.0,10084.0,7786.464
462,7702.0,9590.0,7779.846
463,7702.0,10076.0,7799.012
464,7702.0,10215.0,7829.196
465,7702.0,10215.0,7783.272
466,7702.0,9963.0,7779.616
467,7702.0,9892.0,7789.77
468,7702.0,10215.0,7761.786
469,7702.0,10470.0,7790.326
470,7702.0,9963.0,7790.856
471,7702.0,9652.0,7775.848
472,7702.0,9740.0,7809.638
473,7702.0,9850.0,7772.202
474,7702.0,10576.0,7830.03
475,7702.0,10282.0,7784.284
476,7702.0,10182.0,7796.106
477,7702.0,10612.0,7789.792
478,7702.0,9653.0,7761.184
479,7702.0,9790.0,7762.902
480,7702.0,10420.0,7785.758
481,7702.0,9959.0,7781.656
482,7702.0,10084.0,7762.326
483,7702.0,10182.0,7801.08
484,7702.0,9574.0,7763.392
485,7702.0,10442.0,7777.348
486,7702.0,9874.0,7783.274
487,7702.0,9966.0,7755.048
488,7702.0,10917.0,7778.728
489,7702.0,10924.0,7794.422
490,7702.0,9589.0,7754.964
491,7702.0,10097.0,7754.44
492,7702.0,10612.0,7792.046
493,7702.0,9974.0,7770.734
494,7702.0,10019.0,7766.456
495,7702.0,9874.0,7789.562
496,7702.0,9796.0,7775.536
497,7702.0,10576.0,7798.574
498,7702.0,9782.0,7765.874
499,7702.0,9604.0,7763.562
500,7702.0,10442.0,7772.212
501,7702.0,9564.0,7762.126
502,7702.0,9966.0,7767.038
503,7702.0,9963.0,7787.144
504,7702.0,10282.0,7809.814
505,7702.0,9923.0,7773.382
506,7702.0,9602.0,7800.32
507,7702.0,9817.0,7786.872
508,7702.0,10215.0,7777.734
509,7702.0,9966.0,7795.244
510,7702.0,10282.0,7764.486
511,7702.0,9752.0,7763.204
512,7702.0,10612.0,7801.122
513,7702.0,10442.0,7781.414
514,7702.0,10138.0,7755.714
515,7702.0,10157.0,7760.84
516,7702.0,9769.0,7763.41
517,7702.0,10420.0,7799.986
518,7702.0,10129.0,7778.53
519,7702.0,10576.0,7789.402
520,7702.0,9974.0,7789.832
521,7702.0,10215.0,7782.144
522,7702.0,9798.0,7773.756
523,7702.0,10612.0,7785.032
524,7702.0,9974.0,7751.36
525,7702.0,10030.0,7791.566
526,7702.0,10061.0,7783.892
527,7702.0,10084.0,7795.458
528,7702.0,10215.0,7800.278
529,7702.0,10215.0,7797.006
530,7702.0,10008.0,7773.14
531,7702.0,10442.0,7775.68
532,7702.0,9360.0,7787.838
533,7702.0,10182.0,7787.184
534,7702.0,9994.0,7782.582
535,7702.0,10282.0,7800.522
536,7702.0,9530.0,7770.764
537,7702.0,9813.0,7775.96
538,7702.0,10076.0,7778.638
539,7702.0,9530.0,7765.19
540,7702.0,10187.0,7807.738
541,7702.0,10061.0,7782.24
542,7702.0,9963.0,7780.584
543,7702.0,10157.0,7791.56
544,7702.0,10182.0,7769.676
545,7702.0,10008.0,7805.182
546,7702.0,9831.0,7779.606
547,7702.0,10420.0,7820.532
548,7702.0,9817.0,7783.272
549,7702.0,9782.0,7756.294
550,7702.0,10138.0,7797.524
551,7702.0,10612.0,7786.552
552,7702.0,9684.0,7809.448
553,7702.0,9933.0,7794.236
554,7702.0,10182.0,7764.31
555,7702.0,10030.0,7796.364
556,7702.0,9674.0,7760.962
557,7702.0,9858.0,7780.564
558,7702.0,10215.0,7791.178
559,7702.0,10612.0,7783.782
560,7702.0,10470.0,7767.808
561,7702.0,9966.0,7797.968
562,7702.0,10282.0,7791.686
563,7702.0,9698.0,7756.98
564,7702.0,10187.0,7757.742
565,7702.0,9799.0,7794.454
566,7702.0,10076.0,7787.556
567,7702.0,10282.0,7804.03
568,7702.0,10420.0,7818.836
569,7702.0,9684.0,7783.064
570,7702.0,10612.0,7783.136
571,7702.0,9563.0,7769.46
572,7702.0,9798.0,7774.896
573,7702.0,10084.0,7777.884
574,7702.0,10576.0,7767.044
575,7702.0,10612.0,7777.79
576,7702.0,9874.0,7773.594
577,7702.0,10030.0,7763.458
578,7702.0,10292.0,7771.902
579,7702.0,10282.0,7786.86
580,7702.0,10292.0,7782.504
581,7702.0,10019.0,7798.814
582,7702.0,9839.0,7769.02
583,7702.0,10129.0,7769.79
584,7702.0,9653.0,7790.012
585,7702.0,10576.0,7782.234
586,7702.0,9892.0,7777.436
587,7702.0,9452.0,7754.484
588,7702.0,9651.0,7772.208
589,7702.0,10157.0,7785.808
590,7702.0,9604.0,7775.794
591,7702.0,10157.0,7788.22
592,7702.0,9966.0,7797.072
593,7702.0,10084.0,7786.9
594,7702.0,9595.0,7779.8
595,7702.0,9724.0,7765.468
596,7702.0,9499.0,7779.25
597,7702.0,10215.0,7783.76
598,7702.0,10090.0,7816.98
599,7702.0,9724.0,7773.296
600,7702.0,9697.0,7804.16
601,7702.0,9684.0,7775.472
602,7702.0,10187.0,7760.294
603,7702.0,10157.0,7817.818
604,7702.0,9813.0,7758.438
605,7702.0,9963.0,7770.416
606,7702.0,10292.0,7773.602
607,7702.0,10187.0,7768.564
608,7702.0,10470.0,7778.536
609,7702.0,10084.0,7799.338
610,7702.0,9383.0,7764.752
611,7702.0,10187.0,7781.102
612,7702.0,9682.0,7779.134
613,7702.0,10187.0,7799.888
614,7702.0,9892.0,7789.084
615,7702.0,10187.0,7786.558
616,7702.0,10097.0,7802.9
617,7702.0,9751.0,7753.04
618,7702.0,9589.0,7768.282
619,7702.0,9858.0,7786.856
620,7702.0,10292.0,7769.142
621,7702.0,10138.0,7776.538
622,7702.0,9959.0,7794.192
623,7702.0,10187.0,7791.458
624,7702.0,10138.0,7786.738
625,7702.0,9698.0,7779.592
626,7702.0,10215.0,7773.552
627,7702.0,10138.0,7799.394
628,7702.0,10008.0,7788.97
629,7702.0,10019.0,7785.544
630,7702.0,10215.0,7785.126
631,7702.0,10612.0,7795.636
632,7702.0,9686.0,7765.236
633,7702.0,10420.0,7781.028
634,7702.0,10157.0,7796.72
635,7702.0,10157.0,7788.83
636,7702.0,9796.0,7763.932
637,7702.0,10129.0,7791.646
638,7702.0,10030.0,7762.814
639,7702.0,10442.0,7814.224
640,7702.0,9563.0,7748.656
641,7702.0,10576.0,7774.734
